intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
5,5.2,1.5,7.800000000000001,2.8713149470951973,10.724778780615123,-38.05555555555556,-33.773997297392924,4.281558258162633
6,4.3,0.5,2.15,3.930452997949453,24.91983175469229,31.36111111111111,13.840966114744585,17.520144996366525
6,4.3,0.8,3.44,3.930452997949453,10.210204673729937,12.777777777777779,7.414242117829521,5.3635356599482575
6,4.3,1.2,5.159999999999999,3.930452997949453,3.0821374162332646,-12.13888888888889,-10.153725581749292,1.9851633071395973
6,4.3,1.5,6.449999999999999,3.930452997949453,7.905807815702884,-32.833333333333336,-26.059272568373924,6.774060764959412
7,5.3,0.5,2.65,5.323913996939469,26.873497521126765,40.44444444444444,21.172533979224276,19.271910465220166
7,5.3,0.8,4.24,5.323913996939469,11.161717607066818,16.555555555555557,10.549730354747801,6.005825200807756
7,5.3,1.2,6.359999999999999,5.323913996939469,4.921057121215419,-15.5,-11.48404053892438,4.015959461075621
7,5.3,1.5,7.949999999999999,5.323913996939469,12.809461628982678,-38.19444444444444,-27.109996824864496,11.084447619579947
8,6.9,0.5,3.45,2.3150473759080565,31.721818403121265,51.388888888888886,22.873363817439376,28.51552507144951
8,6.9,0.8,5.5200000000000005,2.3150473759080565,6.182887087914067,20.694444444444443,14.661842974331623,6.032601470112819
8,6.9,1.2,8.28,2.3150473759080565,5.068268722485812,-20.63888888888889,-22.026350272931204,1.3874613840423144
8,6.9,1.5,10.350000000000001,2.3150473759080565,17.96330734823085,-49.888888888888886,-56.40886118677158,6.5199722978826955
9,5.4,0.5,2.7,3.1780864371565234,22.666297922519973,40.05555555555556,24.480191678423115,15.575363877132443
9,5.4,0.8,4.32,3.1780864371565234,6.3169630086936825,15.305555555555555,13.311917870752922,1.9936376848026338
9,5.4,1.2,6.48,3.1780864371565234,3.54881383729999,-15.833333333333334,-13.822478961867164,2.01085437146617
9,5.4,1.5,8.100000000000001,3.1780864371565234,12.69361861508267,-39.72222222222222,-33.60296334401594,6.119258878206281
10,6.1,0.5,3.05,1.874389373782548,23.54760979641341,45.666666666666664,26.60012493738538,19.066541729281283
10,6.1,0.8,4.88,1.874389373782548,6.290904745515969,18.13888888888889,13.541260786061532,4.597628102827358
10,6.1,1.2,7.319999999999999,1.874389373782548,6.062181361137622,-17.75,-14.025084410642688,3.7249155893573125
10,6.1,1.5,9.149999999999999,1.874389373782548,12.72301056651097,-39.666666666666664,-35.09342796749519,4.573238699171476
11,4.3,0.5,2.15,14.832686969509583,28.86357092829432,31.805555555555557,8.970050775928188,22.83550477962737
11,4.3,0.8,3.44,14.832686969509583,17.533309096326697,13.055555555555555,4.6191027079080715,8.436452847647484
11,4.3,1.2,5.159999999999999,14.832686969509583,17.03575222770585,-12.305555555555555,-6.011257584947001,6.294297970608555
11,4.3,1.5,6.449999999999999,14.832686969509583,23.17057483912256,-32.19444444444444,-17.0580933157906,15.136351128653843
12,4.3,0.5,2.15,5.599753460737345,24.8992130883752,32.138888888888886,16.094758664129184,16.0441302247597
12,4.3,0.8,3.44,5.599753460737345,11.632976140423748,13.222222222222221,8.293129281217535,4.929092941004686
12,4.3,1.2,5.159999999999999,5.599753460737345,2.8103728503973673,-12.694444444444445,-10.185842463896778,2.5086019805476667
12,4.3,1.5,6.449999999999999,5.599753460737345,5.712032901545486,-31.055555555555557,-24.52531485053838,6.530240705017178
13,6.4,0.5,3.2,2.5743652917913082,26.610161057841296,47.02777777777778,26.274884423112226,20.752893354665552
13,6.4,0.8,5.120000000000001,2.5743652917913082,6.396499524494243,18.833333333333332,14.931111062323769,3.9022222710095633
13,6.4,1.2,7.68,2.5743652917913082,5.957875064329613,-19.36111111111111,-15.975753841035548,3.3853572700755628
13,6.4,1.5,9.600000000000001,2.5743652917913082,14.161729785255615,-44.611111111111114,-41.880579862104476,2.7305312490066385
14,5.7,0.5,2.85,7.622466594555661,27.93725701411604,43.138888888888886,14.508255239519874,28.63063364936901
14,5.7,0.8,4.5600000000000005,7.622466594555661,8.633727849577266,18.27777777777778,6.981932980291337,11.295844797486442
14,5.7,1.2,6.84,7.622466594555661,16.75417815058086,-16.38888888888889,-9.554309649027166,6.834579239861723
14,5.7,1.5,8.55,7.622466594555661,28.084498846886568,-38.75,-24.87053088097115,13.879469119028851
15,4.7,0.5,2.35,4.186474604178472,27.142507626481727,35.611111111111114,16.93674282002341,18.674368291087703
15,4.7,0.8,3.7600000000000002,4.186474604178472,10.997723787751603,14.5,9.21298970704293,5.287010292957071
15,4.7,1.2,5.64,4.186474604178472,2.75112288502441,-13.694444444444445,-12.240176779557125,1.45426766488732
15,4.7,1.5,7.050000000000001,4.186474604178472,6.454624342737141,-34.833333333333336,-30.330757946322674,4.502575387010662
16,7.4,0.5,3.7,13.81876136355906,49.541334536157265,55.72222222222222,9.7578070027033,45.96441521951892
16,7.4,0.8,5.920000000000001,13.81876136355906,18.52593735298994,22.61111111111111,7.406820970277916,15.204290140833194
16,7.4,1.2,8.88,13.81876136355906,14.61260224090738,-21.583333333333332,-18.75953014135025,2.8238031919830817
16,7.4,1.5,11.100000000000001,13.81876136355906,21.216701316960016,-54.333333333333336,-59.3013400304447,4.968006697111363
