intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
10,6.1,1.2,7.319999999999999,6.833056431102223,19.196367862382434,-17.75,-10.384642048846814,7.365357951153186
10,6.1,1.5,9.149999999999999,6.833056431102223,33.576129347210895,-39.666666666666664,-16.724400353890434,22.94226631277623
11,4.3,0.5,2.15,11.019709021469211,35.62181808820305,31.805555555555557,5.4113399934535265,26.39421556210203
11,4.3,0.8,3.44,11.019709021469211,18.507630746229555,13.055555555555555,4.423664305246946,8.631891250308609
11,4.3,1.2,5.159999999999999,11.019709021469211,12.53216835439787,-12.305555555555555,-3.414393079398699,8.891162476156856
11,4.3,1.5,6.449999999999999,11.019709021469211,27.140636763221917,-32.19444444444444,-7.895509514992958,24.298934929451484
12,4.3,0.5,2.15,5.453615448562962,28.770874112309194,32.138888888888886,3.1409928308430346,28.99789605804585
12,4.3,0.8,3.44,5.453615448562962,7.965488620904976,13.222222222222221,3.594203850608303,9.62801837161392
12,4.3,1.2,5.159999999999999,5.453615448562962,13.625738492125329,-12.694444444444445,-5.628299087829924,7.066145356614521
12,4.3,1.5,6.449999999999999,5.453615448562962,29.302655338094297,-31.055555555555557,-12.083984403084095,18.971571152471462
13,6.4,0.5,3.2,6.5203151547414455,37.58207467364804,47.02777777777778,15.408167099198257,31.61961067857952
13,6.4,0.8,5.120000000000001,6.5203151547414455,11.132893943653512,18.833333333333332,11.74849746156989,7.084835871763442
13,6.4,1.2,7.68,6.5203151547414455,15.649400935805653,-19.36111111111111,-12.225205972981916,7.1359051381291945
13,6.4,1.5,9.600000000000001,6.5203151547414455,30.413113527469054,-44.611111111111114,-21.00040768990275,23.610703421208363
14,5.7,0.5,2.85,12.928817170816236,27.616479657856864,43.138888888888886,9.518978834731396,33.61991005415749
14,5.7,0.8,4.5600000000000005,12.928817170816236,6.883264582781304,18.27777777777778,6.156700522170653,12.121077255607126
14,5.7,1.2,6.84,12.928817170816236,23.42877900203178,-16.38888888888889,-7.333141777841048,9.055747111047841
14,5.7,1.5,8.55,12.928817170816236,36.92711823005478,-38.75,-17.278336223205724,21.471663776794276
15,4.7,0.5,2.35,3.7329974268342947,37.885791095025084,35.611111111111114,2.2983563977889663,33.31275471332215
15,4.7,0.8,3.7600000000000002,3.7329974268342947,13.330518905460549,14.5,3.0510865288590963,11.448913471140903
15,4.7,1.2,5.64,3.7329974268342947,11.760305880110376,-13.694444444444445,-4.693668807129455,9.000775637314991
15,4.7,1.5,7.050000000000001,3.7329974268342947,29.9058385352801,-34.833333333333336,-12.211961860867227,22.62137147246611
16,7.4,0.5,3.7,12.738854029927648,73.82965860449642,55.72222222222222,-5.178799181459906,60.90102140368213
16,7.4,0.8,5.920000000000001,12.738854029927648,32.617745373848614,22.61111111111111,-1.8068846324838457,24.417995743594958
16,7.4,1.2,8.88,12.738854029927648,18.283970278517796,-21.583333333333332,-10.336285418398258,11.247047914935074
16,7.4,1.5,11.100000000000001,12.738854029927648,37.8587520336784,-54.333333333333336,-28.313382811569767,26.01995052176357
17,6.7,0.5,3.35,9.266546844732291,38.94383094291007,49.55555555555556,8.6349762208029,40.92057933475266
17,6.7,0.8,5.36,9.266546844732291,7.397660541814788,19.97222222222222,7.920913870252245,12.051308351969976
17,6.7,1.2,8.04,9.266546844732291,24.012168321817892,-20.194444444444443,-9.762097542205595,10.432346902238848
17,6.7,1.5,10.05,9.266546844732291,33.39010982190397,-44.19444444444444,-23.38888898433323,20.80555546011121
18,5.1,0.5,2.55,11.17988152385314,23.925579284504394,38.22222222222222,7.905413773493207,30.316808448729013
18,5.1,0.8,4.08,11.17988152385314,2.9147704665284357,15.444444444444445,5.934595517127508,9.509848927316938
18,5.1,1.2,6.119999999999999,11.17988152385314,23.09188236828593,-14.63888888888889,-5.35197737524453,9.286911513644359
18,5.1,1.5,7.6499999999999995,11.17988152385314,42.07844524287647,-37.861111111111114,-10.612202599964508,27.248908511146606
